,Protein_ID,Compound_ID,Label
5786,P11511,SUB-2265,1
8602,O33472,SUB-229,1
1768,P05364,SUB-378,1
8844,P46010,SUB-5882,1
11001,P13448,SUB-8054,1
18559,P51541,SUB-694,0
25689,P40025,SUB-9583,0
18680,O60911,SUB-89,0
22348,P0A9J4,SUB-2549,0
22061,P24182,SUB-7514,0
20682,Q924N5,SUB-8913,0
25260,H8WR05,SUB-7293,0
22726,M5AXT3,SUB-5774,0
5512,K7XD27,SUB-8083,1
7748,Q6H8W7,SUB-10005,1
5065,G3CHF0,SUB-2905,1
24248,O87876,SUB-6912,0
13174,Q84QK0,SUB-8698,0
1075,Q148L6,SUB-5905,1
9413,Q8TEY0,SUB-9214,1
4597,Q4U331,SUB-9315,1
8346,P51781,SUB-8058,1
10700,Q58409,SUB-7200,1
21423,B2J1M1,SUB-10149,0
9881,O08590,SUB-1177,1
10223,P37967,SUB-9747,1
17480,A0A2I6UI54,SUB-3610,0
3831,Q8GR22,SUB-8901,1
9818,B3GEB1,SUB-1143,1
545,P26459,SUB-9245,1
4803,Q9SLN8,SUB-3797,1
12631,Q6QHF9,SUB-394,1
22870,Q9FAW5,SUB-7548,0
15977,Q9HBH5,SUB-9969,0
6561,Q9Z2L6,SUB-7781,1
3529,P81177,SUB-6178,1
22084,A2DJ40,SUB-9501,0
634,P0A744,SUB-9128,1
2026,P19801,SUB-8715,1
13751,D5HN83,SUB-1342,0
11664,P0AB87,SUB-34,1
6857,P37610,SUB-8914,1
1401,Q8RQQ0,SUB-1889,1
23314,B5AR58,SUB-6973,0
13833,P35738,SUB-2736,0
15503,Q75W17,SUB-10031,0
18617,Q9I387,SUB-4307,0
10316,P08236,SUB-8811,1
20309,Q64602,SUB-7219,0
18985,P80563,SUB-7001,0
8876,Q8VPT7,SUB-2131,1
6718,Q4J9F2,SUB-5650,1
18679,O60911,SUB-3442,0
344,P36633,SUB-1177,1
15304,Q670W0,SUB-7747,0
12301,A0A076JVU4,SUB-9353,1
14305,Q5JIZ5,SUB-310,0
15154,A8QCW4,SUB-2743,0
25708,Q6QBS4,SUB-1757,0
19694,Q969S8,SUB-5921,0
13465,C9K2Z6,SUB-1508,0
15890,Q91XE4,SUB-9082,0
448,T2HVB4,SUB-956,1
3081,B9W4V6,SUB-5528,1
987,Q9HA79,SUB-5458,1
19526,P09870,SUB-2488,0
10061,O34807,SUB-1879,1
24819,Q93TJ5,SUB-6410,0
25782,Q9SU56,SUB-6436,0
1093,Q8DTW7,SUB-9598,1
15129,P00492,SUB-9581,0
21473,B6CAM1,SUB-2481,0
20431,Q59VG6,SUB-5748,0
9864,P52704,SUB-3444,1
21088,A7LFP5,SUB-5885,0
7603,P15555,SUB-1389,1
8092,A7LFP5,SUB-6031,1
2376,P07975,SUB-3282,1
21339,P51781,SUB-1996,0
20159,P51857,SUB-1689,0
22627,P08337,SUB-480,0
16955,B3VMC2,SUB-10276,0
186,Q1K615,SUB-3199,1
10070,Q9JKC1,SUB-370,1
16,P0A111,SUB-4843,1
17990,A2VA43,SUB-7904,0
13141,Q9ZSD6,SUB-6452,0
19340,P19623,SUB-1351,0
10101,Q8L3C9,SUB-5252,1
24672,Q05514,SUB-4484,0
11480,Q7S3U4,SUB-7418,1
11966,Q735A2,SUB-6685,1
19814,P27707,SUB-6814,0
13263,P80679,SUB-9597,0
10024,P00466,SUB-7963,1
23127,P39462,SUB-5770,0
13839,Q76GS2,SUB-9663,0
16353,P17109,SUB-575,0
473,C9K2Z6,SUB-7807,1
14714,A4D0H5,SUB-4045,0
17993,A2VA43,SUB-2726,0
6314,P06276,SUB-6871,1
10566,Q6ZWL3,SUB-2959,1
24575,P00175,SUB-8184,0
21205,P37334,SUB-6909,0
22950,O75828,SUB-3343,0
20075,P51590,SUB-2105,0
2495,P78330,SUB-5761,1
13617,Q02068,SUB-543,0
20312,Q1JUP4,SUB-4078,0
19565,M1SQA1,SUB-1917,0
9067,P24182,SUB-5522,1
18375,B5GLC8,SUB-6465,0
8849,P46010,SUB-747,1
22558,Q9BTY2,SUB-5988,0
3049,B9W4V6,SUB-1820,1
2698,Q7WWK8,SUB-6968,1
13715,P27882,SUB-4476,0
14412,F9UM18,SUB-9417,0
5166,O09046,SUB-7043,1
11723,P9WFF5,SUB-3252,1
12768,P28907,SUB-8682,1
17287,Q8WNV7,SUB-2436,0
10004,P54716,SUB-9078,1
24957,B6VP39,SUB-427,0
18636,P0AEN1,SUB-7027,0
12572,P07062,SUB-3747,1
25169,Q8YXV3,SUB-914,0
15792,Q12556,SUB-7424,0
22424,Q9KAN9,SUB-4870,0
11841,Q93TJ5,SUB-9680,1
16875,G7J7Q5,SUB-9806,0
21086,A7LFP5,SUB-737,0
25515,Q8K023,SUB-3635,0
8081,P32169,SUB-2463,1
9691,B2ZB02,SUB-4297,1
2338,B0F411,SUB-791,1
19989,Q1W2L4,SUB-4288,0
21675,P42535,SUB-3842,0
731,Q15493,SUB-6454,1
17069,Q9X5B8,SUB-8964,0
13692,Q936X3,SUB-9315,0
9489,P09411,SUB-3851,1
9735,Q8J2T0,SUB-2483,1
18262,Q9D379,SUB-1712,0
7803,Q63880,SUB-2344,1
6301,A6YIH8,SUB-7053,1
17404,P07205,SUB-2972,0
9958,O75828,SUB-7728,1
5683,O60911,SUB-6178,1
808,P04694,SUB-8845,1
3541,Q9BT40,SUB-4475,1
18740,B0LDU6,SUB-6004,0
5345,Q5FTU6,SUB-2551,1
9897,P37111,SUB-3260,1
25363,P20720,SUB-968,0
26,P0A111,SUB-6438,1
4641,Q60136,SUB-6462,1
739,Q15493,SUB-9059,1
12326,Q70JP0,SUB-1906,1
15844,Q5EBM0,SUB-3394,0
19758,P13569,SUB-7235,0
7983,O34142,SUB-8013,1
14982,A4GWX8,SUB-1924,0
16197,Q04631,SUB-9258,0
6324,P06276,SUB-4606,1
20726,Q57160,SUB-8452,0
9512,P42412,SUB-2575,1
2089,P70627,SUB-5457,1
7148,G1T465,SUB-1578,1
24030,P30837,SUB-4770,0
1482,P09620,SUB-2039,1
10858,P04963,SUB-9074,1
20562,P06280,SUB-6429,0
16792,Q9Y2I7,SUB-8235,0
23069,Q02318,SUB-10316,0
2948,O67987,SUB-4304,1
4125,P20933,SUB-8540,1
24767,Q12739,SUB-6162,0
24894,Q9JJN7,SUB-688,0
9400,Q50EL0,SUB-2816,1
16417,Q8KWI9,SUB-1579,0
370,L7T8Y9,SUB-5086,1
11084,P30837,SUB-6346,1
14377,Q5EG61,SUB-3692,0
10462,P41407,SUB-7475,1
18943,P06875,SUB-7512,0
21558,A0A2Z6FCE3,SUB-5991,0
22518,E2GIN1,SUB-1177,0
25229,Q9UI42,SUB-3230,0
20776,Q9X9Q6,SUB-4212,0
1024,Q9HA79,SUB-2488,1
16803,L7QI79,SUB-4908,0
9701,Q59477,SUB-2932,1
11867,Q93TJ5,SUB-5689,1
391,P05459,SUB-2097,1
6968,P18548,SUB-9995,1
8126,O25366,SUB-7904,1
9010,Q5QE78,SUB-9535,1
25542,Q6P7B9,SUB-8531,0
7790,Q02567,SUB-9235,1
25911,P22984,SUB-1057,0
15431,P0A6K3,SUB-4458,0
2968,Q6LWL2,SUB-2660,1
11513,Q3ECS3,SUB-5357,1
5727,Q7XZQ8,SUB-3085,1
11098,P30837,SUB-3053,1
1089,Q9KWR5,SUB-389,1
10642,P72156,SUB-10074,1
3021,O73884,SUB-1125,1
25097,Q4K977,SUB-1591,0
4923,P35559,SUB-6927,1
3915,Q8X1D8,SUB-5267,1
25118,B2ZRE3,SUB-3134,0
1890,Q2KIR7,SUB-4982,1
8526,S5FPI8,SUB-3389,1
9320,P16116,SUB-5255,1
3532,Q9I4G8,SUB-5329,1
18710,Q63342,SUB-6750,0
12222,Q7X9A9,SUB-9465,1
10133,P39462,SUB-8055,1
23670,P00371,SUB-2383,0
2962,P0ABJ1,SUB-4947,1
11951,A9CPS8,SUB-4921,1
8654,A5JTM5,SUB-7075,1
11752,Q9N119,SUB-1186,1
20126,Q2VIK1,SUB-148,0
21568,P31013,SUB-9323,0
20563,Q8VWZ7,SUB-2292,0
5548,Q70AC7,SUB-3043,1
4956,P0CG30,SUB-7513,1
24200,E1C8E0,SUB-2160,0
13149,A9UIG0,SUB-2545,0
7412,Q9SL43,SUB-7143,1
7007,Q9ZVL6,SUB-3061,1
19994,Q1W2L4,SUB-5888,0
14238,Q70J58,SUB-8620,0
23307,Q9UBM7,SUB-2478,0
13105,G1EMI7,SUB-4471,0
2989,Q9NWM0,SUB-6534,1
13067,Q13822,SUB-9145,0
22565,Q9BTY2,SUB-1137,0
25488,P12547,SUB-3847,0
4375,P04177,SUB-6127,1
21714,Q8WVQ1,SUB-7436,0
18809,P36269,SUB-7558,0
5933,P06875,SUB-7092,1
6409,Q8TCG5,SUB-5432,1
14704,P92916,SUB-6244,0
18254,P0AB80,SUB-539,0
23115,P39462,SUB-2721,0
22534,P37058,SUB-5929,0
22921,O32125,SUB-7732,0
19256,Q9WXT2,SUB-1196,0
9433,Q9KAN9,SUB-2047,1
25052,P11509,SUB-3438,0
10187,Q56268,SUB-9335,1
19383,A0A1E1FFN6,SUB-9842,0
14159,P07099,SUB-8406,0
22806,Q48230,SUB-2285,0
18069,Q0E9Q7,SUB-26,0
13338,P36633,SUB-7509,0
10093,F2YCN5,SUB-8483,1
13811,P29758,SUB-2828,0
15577,A9JPD4,SUB-1999,0
9856,Q8NRR8,SUB-1461,1
1010,Q9HA79,SUB-8198,1
16680,Q00441,SUB-313,0
4814,P52705,SUB-8048,1
116,G1EMI7,SUB-7748,1
24882,P0A6W0,SUB-8805,0
25415,P49012,SUB-9375,0
20601,P15555,SUB-7875,0
15852,G7H7Y1,SUB-2084,0
8022,Q7CP66,SUB-2034,1
19689,P00784,SUB-5193,0
12987,P11349,SUB-7399,1
18707,O93785,SUB-4166,0
6705,Q969S8,SUB-3025,1
10066,Q75WF1,SUB-7579,1
17803,P52705,SUB-1530,0
9436,Q9KAN9,SUB-10227,1
22358,O24641,SUB-819,0
12216,Q7X9A9,SUB-1675,1
2938,F8S123,SUB-785,1
22438,P9WMK9,SUB-8214,0
23597,Q6XZ78,SUB-6521,0
22005,Q5QE78,SUB-5601,0
5157,Q548M1,SUB-5522,1
15564,A0A0K0Q1Y2,SUB-2397,0
23047,B2RLK2,SUB-5475,0
1899,Q8KZP9,SUB-2855,1
3974,D7UT17,SUB-7064,1
9164,P80025,SUB-81,1
16489,Q9LCQ7,SUB-10185,0
20280,P32861,SUB-7654,0
25272,E7FHY4,SUB-8932,0
8645,P04070,SUB-5021,1
3205,Q04631,SUB-9778,1
22591,Q8RDE9,SUB-3759,0
24539,P19531,SUB-1455,0
2266,Q99034,SUB-6495,1
7365,B2RKK0,SUB-6196,1
13770,Q5KST5,SUB-5298,0
8182,A0A0H2YQI3,SUB-2945,1
7630,E0Z1D2,SUB-7348,1
7671,Q8KZT4,SUB-5802,1
4291,Q8WNV7,SUB-6631,1
18070,Q0E9Q7,SUB-984,0
25806,P15558,SUB-7388,0
23529,Q06278,SUB-3641,0
11576,P0AF18,SUB-506,1
20697,B6U0X5,SUB-8455,0
12410,O95045,SUB-5348,1
18303,D0VWQ0,SUB-492,0
18404,P04079,SUB-9683,0
6886,P80340,SUB-3999,1
12201,Q94LW9,SUB-2248,1
8205,Q9HBQ7,SUB-6032,1
3963,Q9JII6,SUB-7491,1
21122,Q72ID4,SUB-805,0
14690,Q6WNR0,SUB-7231,0
16752,Q7G191,SUB-10216,0
14504,Q8GH59,SUB-9851,0
17044,P07202,SUB-9008,0
9557,P0AFG8,SUB-9774,1
12498,P12547,SUB-6322,1
18104,Q51578,SUB-185,0
17386,P33316,SUB-2447,0
18171,P08319,SUB-6906,0
8231,A4IP64,SUB-6587,1
12744,Q8NCE0,SUB-8365,1
7635,Q86PM2,SUB-6942,1
880,O94219,SUB-8401,1
20096,P51650,SUB-2618,0
20176,Q8L163,SUB-9714,0
21760,O87612,SUB-3628,0
1755,P05364,SUB-6286,1
16482,Q9NXJ5,SUB-3459,0
10086,P36639,SUB-1023,1
6637,P00634,SUB-8890,1
6960,P18548,SUB-8425,1
9865,P32021,SUB-4240,1
22454,Q581W1,SUB-1372,0
2198,P06617,SUB-7428,1
6254,O65782,SUB-2284,1
20930,P9WPP9,SUB-7696,0
15142,P25774,SUB-10290,0
12263,H8WR05,SUB-4501,1
641,B4F335,SUB-9116,1
19760,P13569,SUB-7114,0
16696,P0A8T7,SUB-5199,0
17957,P06797,SUB-6779,0
17832,Q9AVQ1,SUB-1314,0
15787,O93655,SUB-1638,0
10008,O06652,SUB-1908,1
7939,A0R5N0,SUB-8050,1
8518,Q27679,SUB-2830,1
5620,Q9I387,SUB-7579,1
13081,W8DVW0,SUB-1094,0
22586,Q6YNI5,SUB-449,0
25752,P04903,SUB-5331,0
21743,Q12178,SUB-8150,0
18449,Q16775,SUB-3636,0
15628,Q9BY64,SUB-5174,0
15074,Q8KN40,SUB-7753,0
4347,P21588,SUB-3836,1
18855,P0A110,SUB-357,0
19042,P41744,SUB-99,0
4382,P21164,SUB-6041,1
4852,A9QXE0,SUB-5911,1
2833,G0RVK1,SUB-1381,1
7012,Q9ZVL6,SUB-9061,1
17390,P30084,SUB-2315,0
1138,O64743,SUB-180,1
10799,P00331,SUB-8495,1
20960,Q9Y5Z0,SUB-9204,0
16450,P00791,SUB-6487,0
3009,B3TNN8,SUB-8647,1
21817,P36551,SUB-7218,0
12476,O24319,SUB-82,1
7845,Q8GR64,SUB-6417,1
7641,Q60FX6,SUB-4150,1
5754,Q9FEW9,SUB-6598,1
17329,Q65KZ6,SUB-2372,0
25163,Q15067,SUB-1588,0
15305,Q670W0,SUB-7993,0
11545,P19531,SUB-4991,1
9123,Q2MJ20,SUB-8784,1
13446,Q9KID9,SUB-5250,0
2454,Q8VPD4,SUB-1257,1
18756,Q9FEW9,SUB-2108,0
14177,Q6UG02,SUB-4624,0
12262,H8WR05,SUB-2165,1
1070,P9WIC7,SUB-8792,1
722,P27882,SUB-5684,1
11453,P11214,SUB-7170,1
21878,O94753,SUB-5936,0
12501,Q79AF6,SUB-9774,1
1157,P07099,SUB-4134,1
3315,P00438,SUB-3743,1
21993,P15559,SUB-553,0
9352,P22983,SUB-654,1
12505,Q79AF6,SUB-7962,1
20736,P0ACC7,SUB-5012,0
6016,P23457,SUB-9878,1
6098,Q96V44,SUB-9376,1
8026,A4Q8F7,SUB-2100,1
20026,P00929,SUB-6578,0
2419,Q72EC8,SUB-4608,1
6919,C9JRZ8,SUB-167,1
10191,Q8UVJ2,SUB-2018,1
8457,D5MU22,SUB-5802,1
13217,P80679,SUB-2834,0
23960,Q81VW8,SUB-8659,0
2354,Q9P979,SUB-9220,1
7262,Q9FYY0,SUB-831,1
12837,F4JLK2,SUB-1682,1
8839,Q8KTX6,SUB-3444,1
10192,Q75UV1,SUB-3467,1
25083,Q7BLV3,SUB-1462,0
14012,Q9HA79,SUB-3392,0
4542,P11310,SUB-3095,1
975,Q9HA79,SUB-5581,1
7167,P51857,SUB-10022,1
21703,P76440,SUB-2058,0
22946,O75828,SUB-3779,0
8116,P19971,SUB-9064,1
22177,A0A9I9,SUB-7052,0
25762,P28907,SUB-8682,0
6042,P41744,SUB-8521,1
14637,Q62600,SUB-2399,0
17018,Q8WRD8,SUB-1229,0
1460,M5C6U3,SUB-9121,1
9720,P39714,SUB-2903,1
22973,F1P458,SUB-9482,0
10649,O31440,SUB-3046,1
661,P00785,SUB-5594,1
19369,Q25252,SUB-9458,0
18157,Q9I4U2,SUB-9125,0
248,P80679,SUB-2613,1
407,Q7NXD4,SUB-7707,1
2170,Q07973,SUB-7276,1
24059,P30837,SUB-313,0
10238,A0A142VC48,SUB-947,1
14194,P06622,SUB-2790,0
15634,Q9BY64,SUB-2194,0
8522,A0A2I2LGB3,SUB-6249,1
9570,Q9BTY2,SUB-3911,1
12967,P12955,SUB-5846,1
9408,O22975,SUB-4257,1
22014,Q6TXD2,SUB-1013,0
6512,C7FF05,SUB-4166,1
19097,Q96V44,SUB-9546,0
11067,P30837,SUB-8459,1
22467,Q9SJM7,SUB-8814,0
4196,Q0PIV8,SUB-4196,1
1496,P0A6L0,SUB-1275,1
941,P16444,SUB-9293,1
10690,P00371,SUB-10139,1
21003,G4WJC8,SUB-9495,0
16991,Q8ISS3,SUB-1710,0
16335,P28838,SUB-2494,0
11458,P22680,SUB-2330,1
24675,Q05514,SUB-6549,0
10599,Q59718,SUB-1673,1
22818,Q0ZUL0,SUB-5848,0
6581,P07154,SUB-7421,1
16799,B6D1W5,SUB-6012,0
7556,Q9S3U5,SUB-5401,1
766,Q9ANX2,SUB-1755,1
15246,A0A0H2UR34,SUB-7612,0
22522,E2GIN1,SUB-2533,0
23315,A0A024FRL9,SUB-10275,0
212,P49366,SUB-6325,1
21280,P07288,SUB-9824,0
20666,Q8KZT4,SUB-7947,0
7576,H9N289,SUB-5192,1
13728,Q15493,SUB-6195,0
5646,P55212,SUB-3982,1
21869,Q9PT41,SUB-8779,0
20020,Q64428,SUB-6388,0
25207,Q7X9A9,SUB-8394,0
13254,P80679,SUB-1913,0
12788,Q9SU56,SUB-6436,1
12424,P49012,SUB-4507,1
17395,P08253,SUB-7226,0
6370,Q25252,SUB-548,1
25002,P0CS93,SUB-5690,0
20237,P22303,SUB-6099,0
22876,O08590,SUB-4327,0
11316,O68977,SUB-6630,1
7598,Q9XGY6,SUB-7712,1
19737,Q93VK5,SUB-1734,0
25985,P20582,SUB-6399,0
18332,A9QXB5,SUB-9263,0
23440,Q02928,SUB-7325,0
11481,Q7S3U4,SUB-2373,1
8344,Q95VE7,SUB-3842,1
23186,Q75UV1,SUB-4671,0
21142,Q7SIG4,SUB-9743,0
22240,Q5JI09,SUB-1887,0
24081,P30837,SUB-3026,0
5344,Q5FTU6,SUB-2347,1
19780,J3QMK6,SUB-3892,0
8730,P20581,SUB-8664,1
12824,Q7RWN7,SUB-2952,1
4637,Q60136,SUB-9923,1
24338,A0A2I6U1R0,SUB-2889,0
19678,P00784,SUB-2201,0
18781,P07118,SUB-4916,0
4944,P0CG30,SUB-3978,1
14321,P10959,SUB-7338,0
14631,P26818,SUB-4142,0
10487,P35270,SUB-6422,1
8311,P24008,SUB-4476,1
7011,Q9ZVL6,SUB-8143,1
4465,P12265,SUB-7067,1
23660,P00371,SUB-698,0
19806,K0CAI2,SUB-8635,0
2904,P0A6L4,SUB-1153,1
8005,Q8TTZ3,SUB-5522,1
25639,F8TW82,SUB-7488,0
5321,P97051,SUB-1199,1
23677,P00371,SUB-2284,0
16097,F2R038,SUB-7886,0
3316,P00438,SUB-10292,1
13062,E3PS87,SUB-5757,0
8080,P32169,SUB-6721,1
2077,P22734,SUB-6585,1
22541,P37058,SUB-6321,0
18283,Q88FX8,SUB-1908,0
19504,C7FF05,SUB-7576,0
6401,P50163,SUB-8247,1
17318,Q148T8,SUB-941,0
7127,B3VTL5,SUB-3421,1
3992,O52933,SUB-281,1
7097,P51650,SUB-6968,1
6048,P41744,SUB-6256,1
21316,Q16836,SUB-8457,0
16540,Q9X265,SUB-9647,0
25394,A0A024CDT8,SUB-8606,0
19239,Q9Z1N4,SUB-8112,0
11603,Q9BYJ1,SUB-4299,1
20786,Q02567,SUB-6987,0
6774,O59150,SUB-2866,1
25297,P0A392,SUB-915,0
4611,A0A0H3V6E7,SUB-6406,1
15433,P0A6K3,SUB-9895,0
12801,Q86V24,SUB-4848,1
14126,P26439,SUB-8702,0
11559,P30863,SUB-6512,1
2961,P0ABJ1,SUB-2101,1
7702,Q8U1K3,SUB-1795,1
13615,Q02068,SUB-9455,0
23511,Q9XJ43,SUB-5257,0
14217,Q9UBR2,SUB-5983,0
14170,P06632,SUB-5742,0
81,Q5I6B5,SUB-3801,1
5432,P11245,SUB-8069,1
15242,P28845,SUB-115,0
13362,A0A0K8P6T7,SUB-1543,0
25580,P22869,SUB-8447,0
2831,G0RVK1,SUB-2497,1
9272,P60891,SUB-5522,1
1810,P05981,SUB-6140,1
16399,Q50H63,SUB-633,0
3005,B3TNN8,SUB-3068,1
17220,Q02497,SUB-8417,0
24468,D0UH99,SUB-5024,0
15896,P0A6L4,SUB-2808,0
14731,Q9BW91,SUB-4411,0
9425,P0AG80,SUB-5522,1
20984,O34142,SUB-837,0
16374,P49384,SUB-7256,0
12563,Q64654,SUB-4474,1
5368,Q9WTL7,SUB-813,1
23823,P04963,SUB-147,0
3910,Q0ZS27,SUB-7597,1
4907,O43915,SUB-8311,1
2425,E3PQQ9,SUB-345,1
4134,E3T1X3,SUB-6350,1
23087,F2YCN5,SUB-3819,0
12577,P22869,SUB-2511,1
13162,P31513,SUB-9977,0
2287,P04180,SUB-8271,1
140,Q9BY49,SUB-4720,1
3422,Q8KWI9,SUB-9206,1
23680,P00371,SUB-5777,0
1136,P26439,SUB-8908,1
9906,Q6IAQ1,SUB-4455,1
12015,P0CS93,SUB-4958,1
24668,P16406,SUB-5271,0
13354,P0A434,SUB-2872,0
14867,Q3I3W6,SUB-7567,0
21666,A0ZXZ4,SUB-5965,0
9214,Q13126,SUB-910,1
7735,Q57160,SUB-9589,1
2141,A0A1S5T4Z0,SUB-4829,1
11773,Q12739,SUB-6162,1
24382,Q64610,SUB-8268,0
12376,P20720,SUB-2244,1
1199,P06622,SUB-8064,1
10232,O59485,SUB-1112,1
8417,Q306W4,SUB-10013,1
19038,P41744,SUB-4563,0
12497,P12547,SUB-1664,1
19696,Q969S8,SUB-9218,0
3829,Q8GR22,SUB-9854,1
16440,P00791,SUB-8597,0
22506,P42412,SUB-7421,0
4699,O75342,SUB-3667,1
15982,Q9HBH5,SUB-4828,0
16349,P17109,SUB-5622,0
25079,P9WKJ7,SUB-9233,0
11408,Q67A25,SUB-2656,1
12221,Q7X9A9,SUB-5545,1
19960,P18548,SUB-3338,0
20483,Q56185,SUB-785,0
24015,P09623,SUB-5145,0
18655,Q9ZBB0,SUB-9736,0
17222,Q02497,SUB-6045,0
10915,P04963,SUB-9251,1
24960,Q735A2,SUB-8753,0
3146,Q949U1,SUB-5476,1
18182,P08319,SUB-6812,0
25431,A0P0F6,SUB-6414,0
13178,D2RIQ3,SUB-2056,0
9233,Q13126,SUB-6266,1
25265,H8WR05,SUB-1570,0
807,P04694,SUB-8239,1
14151,P07099,SUB-2733,0
22845,Q58LW6,SUB-5912,0
6835,P77072,SUB-1491,1
8941,H3JQW0,SUB-3079,1
9854,Q08IT1,SUB-10093,1
19925,C9JRZ8,SUB-2219,0
18184,P08319,SUB-517,0
13273,P80679,SUB-7368,0
20801,A8W790,SUB-5395,0
22770,O28558,SUB-7428,0
16180,Q04631,SUB-6876,0
19631,P00634,SUB-5746,0
11114,P30837,SUB-3797,1
16575,O25874,SUB-7963,0
21290,A0A0E4B3N6,SUB-601,0
6978,H1ZZA4,SUB-9313,1
4731,Q7ZA32,SUB-827,1
23716,P15289,SUB-3186,0
12950,P12955,SUB-5632,1
15438,P0A6K3,SUB-1364,0
8828,Q5XPV2,SUB-3459,1
22189,C6A190,SUB-141,0
13659,Q43153,SUB-2940,0
1193,A0A0A8J7X1,SUB-81,1
19669,P00784,SUB-8399,0
7885,P00183,SUB-2836,1
6687,P00784,SUB-694,1
3210,Q04631,SUB-3980,1
2193,P06617,SUB-2666,1
5837,P0A110,SUB-10311,1
8434,B2J1M1,SUB-10255,1
15679,O65355,SUB-1972,0
18401,P24133,SUB-5992,0
1566,P68175,SUB-8532,1
25746,Q8NCE0,SUB-7691,0
3257,P29141,SUB-7748,1
17947,P0CG30,SUB-6284,0
15078,C6ZDB0,SUB-4756,0
7727,Q57160,SUB-4166,1
8541,Q7RXM0,SUB-1534,1
13483,C9K2Z6,SUB-8601,0
109,B5BLW5,SUB-1668,1
24785,A0A0A1GKA2,SUB-6252,0
21498,O14772,SUB-4243,0
20118,P00651,SUB-1101,0
15144,P25774,SUB-5025,0
5514,Q8A947,SUB-1149,1
1003,Q9HA79,SUB-10101,1
4618,Q764C8,SUB-1700,1
14572,P0A3G2,SUB-9614,0
1514,Q8TCT0,SUB-593,1
7378,P07686,SUB-10158,1
1770,P05364,SUB-4724,1
22074,P06999,SUB-8664,0
21259,P21890,SUB-9264,0
3016,P19099,SUB-8602,1
14745,Q58933,SUB-5498,0
19127,P04036,SUB-461,0
16339,P07824,SUB-1602,0
24144,A0A097ZMY7,SUB-1994,0
8339,Q6P549,SUB-8732,1
23925,P04963,SUB-3414,0
6800,Q0PQZ5,SUB-7937,1
5053,C6L2E7,SUB-9517,1
21,P0A111,SUB-9636,1
25357,P20720,SUB-5109,0
16672,Q9SM43,SUB-3563,0
476,C9K2Z6,SUB-5228,1
7571,H9N289,SUB-1838,1
3120,Q12737,SUB-6206,1
24703,E7FHL9,SUB-1276,0
22841,Q6VVP7,SUB-6961,0
14398,Q0P7J0,SUB-7533,0
10632,P72156,SUB-7596,1
6179,P05982,SUB-5070,1
732,Q15493,SUB-4797,1
15519,Q84PN8,SUB-8551,0
23504,B6YSF3,SUB-3851,0
14499,Q29495,SUB-6836,0
2532,Q96KP4,SUB-8789,1
8316,Q9WZJ3,SUB-1298,1
6614,P00634,SUB-3851,1
19924,C9JRZ8,SUB-7168,0
3098,B9W4V6,SUB-3431,1
10673,P00371,SUB-10143,1
375,O60760,SUB-3140,1
16954,P53629,SUB-3396,0
15247,G4SW86,SUB-3638,0
11187,A1TX06,SUB-5708,1
22003,Q5QE78,SUB-7032,0
22079,P06999,SUB-2594,0
2013,P19801,SUB-3349,1
11312,Q01911,SUB-3994,1
21277,P48637,SUB-10132,0
17348,Q9HFV6,SUB-4051,0
20091,P51650,SUB-142,0
3317,P00438,SUB-2475,1
15960,P93149,SUB-6637,0
18227,Q62867,SUB-6434,0
25475,O24319,SUB-3962,0
9784,P42860,SUB-1036,1
12585,P22869,SUB-2503,1
15788,Q47914,SUB-6933,0
17956,F8G0M4,SUB-7540,0
11558,P30863,SUB-6515,1
5675,M1T9X3,SUB-9618,1
10434,Q32VC2,SUB-9100,1
4707,Q31QF3,SUB-5262,1
25695,A0A144KZJ7,SUB-3480,0
13873,O94219,SUB-3282,0
2683,O65355,SUB-754,1
10404,P14920,SUB-2883,1
8275,Q1XH05,SUB-6954,1
22929,O32125,SUB-5852,0
11846,Q93TJ5,SUB-3997,1
19815,P27707,SUB-6666,0
13088,Q8NKS0,SUB-10143,0
22804,A0A140CUL9,SUB-2770,0
540,Q04828,SUB-5311,1
16231,A2A1C5,SUB-7692,0
10677,P00371,SUB-8336,1
9797,Q08257,SUB-7513,1
16697,P15925,SUB-5605,0
18013,Q8NJP6,SUB-3988,0
19039,P41744,SUB-206,0
5298,P31434,SUB-7795,1
12756,Q8NCE0,SUB-9625,1
20116,P32277,SUB-8041,0
22547,A0QQJ4,SUB-5489,0
1924,P11884,SUB-5143,1
13962,Q9HA79,SUB-8853,0
15921,P07896,SUB-5802,0
17588,P22413,SUB-1811,0
7136,G1T465,SUB-1010,1
4512,Q9XZT6,SUB-2866,1
7350,A0A2H4ER88,SUB-8106,1
16178,Q04631,SUB-9949,0
20755,P39482,SUB-442,0
25732,Q8NCE0,SUB-1071,0
24180,A1TX06,SUB-661,0
14507,Q8TCT0,SUB-1964,0
11793,Q8LAS8,SUB-5124,1
3867,P29475,SUB-173,1
6823,P27707,SUB-4976,1
673,Q9C1S9,SUB-9001,1
11870,Q93TJ5,SUB-772,1
10723,P15289,SUB-5801,1
5936,P06875,SUB-2317,1
23155,A0A0E3GVY6,SUB-4968,0
1442,F9UM18,SUB-7263,1
9319,P16116,SUB-472,1
15290,B6F1A8,SUB-5113,0
11139,A0A097ZMY7,SUB-6315,1
12478,O24319,SUB-210,1
18468,A9QXB4,SUB-4393,0
10090,O13702,SUB-2663,1
